table with row headers in column A,,,,,,,,,,,,,,,,,,,,,,
"Part III.  Population of Counties, Earliest Census to 1990",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ALABAMA: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,"4,040,587","3,893,888","3,444,165","3,266,740","3,061,743","2,832,961","2,646,248","2,348,174","2,138,093","1,828,697","1,513,401","1,262,505","996,992","964,201","771,623","590,756","309,527","127,901","9,046","1,250",See note 1,
,,,,,,,,,,,,,,,,,,,,,,
Autauga ,"34,222","32,259","24,460","18,739","18,186","20,977","19,694","18,908","20,038","17,915","13,330","13,108","11,623","16,739","15,023","14,342","11,874","3,853",--- ,--- ,,
Baldwin ,"98,280","78,556","59,382","49,088","40,997","32,324","28,289","20,730","18,178","13,194","8,941","8,603","6,004","7,530","4,414","2,951","2,324","1,713","1,427",--- ,*Washington,
Barbour ,"25,417","24,756","22,543","24,700","28,892","32,722","32,425","32,067","32,728","35,152","34,898","33,979","29,309","30,812","23,632","12,024",--- ,--- ,--- ,--- ,*Pike,
Bibb ,"16,576","15,723","13,812","14,357","17,987","20,155","20,780","23,144","22,791","18,498","13,824","9,487","7,469","11,894","9,969","8,284","6,306","3,676",--- ,--- ,1820: Cahawba,
Blount ,"39,248","36,459","26,853","25,449","28,975","29,490","28,020","25,538","21,456","23,119","21,927","15,369","9,945","10,865","7,367","5,570","4,233","2,415",--- ,--- ,,
Bullock ,"11,042","10,596","11,824","13,462","16,054","19,810","20,016","25,333","30,196","31,944","27,063","29,066","24,474",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 2,
Butler ,"21,892","21,680","22,007","24,560","29,228","32,447","30,195","29,531","29,030","25,761","21,641","19,649","14,981","18,122","10,836","8,685","5,650","1,405",--- ,--- ,,
Calhoun ,"116,034","119,761","103,092","95,878","79,539","63,319","55,611","47,822","39,115","34,874","33,835","19,591","13,980","21,539","17,163","14,260",--- ,--- ,--- ,--- ,1840-50: Benton,
Chambers ,"36,876","39,191","36,356","37,828","39,528","42,146","39,313","41,201","36,056","32,554","26,319","23,440","17,562","23,214","23,960","17,333",--- ,--- ,--- ,--- ,,
Cherokee ,"19,543","18,760","15,606","16,303","17,634","19,928","20,219","20,862","20,226","21,096","20,459","19,108","11,132","18,360","13,884","8,773",--- ,--- ,--- ,--- ,,
Chilton ,"32,458","30,612","25,180","25,693","26,922","27,955","24,579","22,770","23,187","16,522","14,549","10,793","6,194",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 3,
Choctaw ,"16,018","16,839","16,589","17,870","19,152","20,195","20,513","20,753","18,483","18,136","17,526","15,731","12,676","13,877","8,389",--- ,--- ,--- ,--- ,--- ,"*Washington, Sumter",
Clarke ,"27,240","27,702","26,724","25,738","26,548","27,636","26,016","26,409","30,987","27,790","22,624","17,806","14,663","15,049","9,786","8,640","7,595","5,839",--- ,--- ,*Washington,
Clay ,"13,252","13,703","12,636","12,400","13,929","16,907","17,768","22,645","21,006","17,099","15,765","12,938","9,560",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Talladega, Randolph",
Cleburne ,"12,730","12,595","10,996","10,911","11,904","13,629","12,877","13,360","13,385","13,206","13,218","10,976","8,017",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 4,
Coffee ,"40,240","38,533","34,872","30,583","30,720","31,987","32,556","30,070","26,119","20,972","12,170","8,119","6,171","9,623","5,940",--- ,--- ,--- ,--- ,--- ,*Dale,
Colbert ,"51,666","54,519","49,632","46,506","39,561","34,093","29,860","31,997","24,802","22,341","20,189","16,153","12,537",--- ,--- ,--- ,--- ,--- ,--- ,--- ,*Franklin,
Conecuh ,"14,054","15,884","15,645","17,762","21,776","25,489","25,429","24,593","21,433","17,514","14,594","12,605","9,574","11,311","9,322","8,197","7,444","5,713",--- ,--- ,,
Coosa ,"11,063","11,377","10,662","10,726","11,766","13,460","12,460","14,839","16,634","16,144","15,906","15,113","11,945","19,273","14,543","6,995",--- ,--- ,--- ,--- ,,
Covington ,"36,478","36,850","34,079","35,631","40,373","42,417","41,356","38,103","32,124","15,346","7,536","5,639","4,868","6,469","3,645","2,435","1,522",--- ,--- ,--- ,*Henry; Butler,
