GEO.id,GEO.display-label,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Geographic area name,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US00501,"ZIP 00501 (Holtsville, NY)",2,b,D,D
8610000US01001,"ZIP 01001 (Agawam, MA)",457,9641,87217,376465
8610000US01002,"ZIP 01002 (Amherst, MA)",571,18764,108300,454968
8610000US01003,"ZIP 01003 (Amherst, MA)",18,267,2038,8716
8610000US01004,"ZIP 01004 (Amherst, MA)",13,165,1179,5693
8610000US01005,"ZIP 01005 (Barre, MA)",94,926,8208,33497
8610000US01007,"ZIP 01007 (Belchertown, MA)",223,1864,13177,61980
8610000US01008,"ZIP 01008 (Blandford, MA)",18,220,767,3119
8610000US01009,"ZIP 01009 (Bondsville, MA)",16,142,1330,6979
8610000US01010,"ZIP 01010 (Brimfield, MA)",75,271,3001,15323
8610000US01011,"ZIP 01011 (Chester, MA)",13,32,253,1219
8610000US01012,"ZIP 01012 (Chesterfield, MA)",11,45,252,1112
8610000US01013,"ZIP 01013 (Chicopee, MA)",311,4331,36932,159274
8610000US01014,"ZIP 01014 (Chicopee, MA)",1,a,D,D
8610000US01020,"ZIP 01020 (Chicopee, MA)",542,8768,75616,339382
8610000US01021,"ZIP 01021 (Chicopee, MA)",9,196,1153,5784
8610000US01022,"ZIP 01022 (Chicopee, MA)",60,1931,27810,105627
8610000US01026,"ZIP 01026 (Cummington, MA)",23,70,422,2448
8610000US01027,"ZIP 01027 (Easthampton, MA)",402,3892,34194,145229
8610000US01028,"ZIP 01028 (East Longmeadow, MA)",500,7114,75257,296792
8610000US01029,"ZIP 01029 (East Otis, MA)",14,264,2249,11296
8610000US01030,"ZIP 01030 (Feeding Hills, MA)",202,1206,8108,40943
8610000US01031,"ZIP 01031 (Gilbertville, MA)",18,59,220,1151
8610000US01032,"ZIP 01032 (Goshen, MA)",23,100,816,4065
8610000US01033,"ZIP 01033 (Granby, MA)",129,731,5729,25905
8610000US01034,"ZIP 01034 (Granville, MA)",31,131,1206,6703
8610000US01035,"ZIP 01035 (Hadley, MA)",300,5061,36189,153282
8610000US01036,"ZIP 01036 (Hampden, MA)",122,849,6421,35328
8610000US01037,"ZIP 01037 (Hardwick, MA)",17,267,2404,12385
8610000US01038,"ZIP 01038 (Hatfield, MA)",68,1358,28790,78389
8610000US01039,"ZIP 01039 (Haydenville, MA)",32,222,1979,9498
8610000US01040,"ZIP 01040 (Holyoke, MA)",884,16968,174867,701665
8610000US01041,"ZIP 01041 (Holyoke, MA)",33,942,6811,30025
8610000US01050,"ZIP 01050 (Huntington, MA)",32,236,1760,5394
8610000US01053,"ZIP 01053 (Leeds, MA)",29,1645,27247,109488
8610000US01054,"ZIP 01054 (Leverett, MA)",32,122,867,3867
8610000US01056,"ZIP 01056 (Ludlow, MA)",409,4179,38750,185466
8610000US01057,"ZIP 01057 (Monson, MA)",138,753,7166,32945
8610000US01059,"ZIP 01059 (North Amherst, MA)",10,107,910,3749
8610000US01060,"ZIP 01060 (Northampton, MA)",767,11883,114778,494633
8610000US01061,"ZIP 01061 (Northampton, MA)",19,111,1068,4576
8610000US01062,"ZIP 01062 (Florence, MA)",190,1797,16687,69820
8610000US01063,"ZIP 01063 (Northampton, MA)",4,h,D,D
8610000US01066,"ZIP 01066 (North Hatfield, MA)",9,b,D,D
8610000US01068,"ZIP 01068 (Oakham, MA)",26,62,582,2899
8610000US01069,"ZIP 01069 (Palmer, MA)",263,3349,33405,157676
8610000US01070,"ZIP 01070 (Plainfield, MA)",7,20,92,491
8610000US01071,"ZIP 01071 (Russell, MA)",20,80,364,2343
8610000US01072,"ZIP 01072 (Shutesbury, MA)",19,55,204,1508
8610000US01073,"ZIP 01073 (Southampton, MA)",123,1017,7697,35024
8610000US01074,"ZIP 01074 (South Barre, MA)",9,69,403,2134
8610000US01075,"ZIP 01075 (South Hadley, MA)",304,4791,36462,155031
8610000US01077,"ZIP 01077 (Southwick, MA)",216,1937,15847,75153
8610000US01079,"ZIP 01079 (Thorndike, MA)",11,72,594,2724
8610000US01080,"ZIP 01080 (Three Rivers, MA)",40,351,2659,12102
8610000US01081,"ZIP 01081 (Wales, MA)",14,49,320,1532
8610000US01082,"ZIP 01082 (Ware, MA)",164,2291,21941,86693
8610000US01083,"ZIP 01083 (Warren, MA)",32,245,2666,11219
8610000US01084,"ZIP 01084 (West Chesterfield, MA)",4,22,164,982
8610000US01085,"ZIP 01085 (Westfield, MA)",865,13404,129392,563667
8610000US01086,"ZIP 01086 (Westfield, MA)",17,774,5729,23406
8610000US01088,"ZIP 01088 (West Hatfield, MA)",28,324,2761,12049
8610000US01089,"ZIP 01089 (West Springfield, MA)",982,15984,146241,635014
8610000US01090,"ZIP 01090 (West Springfield, MA)",14,92,1247,5688
8610000US01092,"ZIP 01092 (West Warren, MA)",18,87,478,2009
8610000US01093,"ZIP 01093 (Whately, MA)",32,820,9540,39677
8610000US01094,"ZIP 01094 (Wheelwright, MA)",2,a,D,D
8610000US01095,"ZIP 01095 (Wilbraham, MA)",299,4113,34280,149580
8610000US01096,"ZIP 01096 (Williamsburg, MA)",51,400,3131,13773
8610000US01098,"ZIP 01098 (Worthington, MA)",20,104,711,3377
8610000US01101,"ZIP 01101 (Springfield, MA)",23,783,5570,23283
8610000US01102,"ZIP 01102 (Springfield, MA)",19,3024,49230,199383
8610000US01103,"ZIP 01103 (Springfield, MA)",463,6547,61853,275651
8610000US01104,"ZIP 01104 (Springfield, MA)",515,13689,172140,800929
8610000US01105,"ZIP 01105 (Springfield, MA)",270,6093,52228,218683
8610000US01106,"ZIP 01106 (Longmeadow, MA)",279,3817,29452,134446
8610000US01107,"ZIP 01107 (Springfield, MA)",149,2398,33174,155445
8610000US01108,"ZIP 01108 (Springfield, MA)",270,2452,15806,69182
8610000US01109,"ZIP 01109 (Springfield, MA)",283,7545,49053,216214
8610000US01111,"ZIP 01111 (Springfield, MA)",11,h,D,D
8610000US01115,"ZIP 01115 (Springfield, MA)",45,834,53544,123042
8610000US01116,"ZIP 01116 (Longmeadow, MA)",4,36,174,801
8610000US01118,"ZIP 01118 (Springfield, MA)",129,1501,11821,50913
8610000US01119,"ZIP 01119 (Springfield, MA)",141,3895,23672,99969
8610000US01128,"ZIP 01128 (Springfield, MA)",52,863,3975,16042
8610000US01129,"ZIP 01129 (Springfield, MA)",162,2657,15369,63623
8610000US01138,"ZIP 01138 (Springfield, MA)",8,19,109,778
8610000US01139,"ZIP 01139 (Springfield, MA)",2,c,D,D
8610000US01144,"ZIP 01144 (Springfield, MA)",47,1204,24586,96253
8610000US01151,"ZIP 01151 (Indian Orchard, MA)",145,1739,27255,113697
8610000US01152,"ZIP 01152 (Springfield, MA)",2,a,D,D
8610000US01199,"ZIP 01199 (Springfield, MA)",3,i,D,D
8610000US01201,"ZIP 01201 (Pittsfield, MA)",1294,23192,275255,1158280
8610000US01202,"ZIP 01202 (Pittsfield, MA)",26,378,8331,26751
8610000US01203,"ZIP 01203 (Pittsfield, MA)",1,a,D,D
8610000US01220,"ZIP 01220 (Adams, MA)",153,1593,14347,61950
8610000US01222,"ZIP 01222 (Ashley Falls, MA)",15,45,334,1588
8610000US01223,"ZIP 01223 (Becket, MA)",38,234,1836,11793
8610000US01224,"ZIP 01224 (Berkshire, MA)",4,23,151,641
8610000US01225,"ZIP 01225 (Cheshire, MA)",54,366,3042,15383
8610000US01226,"ZIP 01226 (Dalton, MA)",114,1257,18124,67875
8610000US01227,"ZIP 01227 (Dalton, MA)",6,52,306,1986
8610000US01229,"ZIP 01229 (Glendale, MA)",3,12,149,871
8610000US01230,"ZIP 01230 (Great Barrington, MA)",409,5045,41095,182032
8610000US01235,"ZIP 01235 (Hinsdale, MA)",46,189,1241,7413
8610000US01236,"ZIP 01236 (Housatonic, MA)",42,403,3064,14247
8610000US01237,"ZIP 01237 (Lanesboro, MA)",129,1849,9400,37118
8610000US01238,"ZIP 01238 (Lee, MA)",276,3209,22664,97180
8610000US01240,"ZIP 01240 (Lenox, MA)",249,3569,25518,113761
8610000US01242,"ZIP 01242 (Lenox Dale, MA)",16,130,918,4146
8610000US01243,"ZIP 01243 (Middlefield, MA)",5,28,151,627
8610000US01244,"ZIP 01244 (Mill River, MA)",3,b,D,D
8610000US01245,"ZIP 01245 (Monterey, MA)",22,144,837,4494
8610000US01247,"ZIP 01247 (North Adams, MA)",333,3982,31804,134392
8610000US01252,"ZIP 01252 (North Egremont, MA)",5,5,30,249
8610000US01253,"ZIP 01253 (Otis, MA)",31,160,801,3401
8610000US01254,"ZIP 01254 (Richmond, MA)",30,84,679,2828
8610000US01255,"ZIP 01255 (Sandisfield, MA)",21,133,1020,4941
8610000US01256,"ZIP 01256 (Savoy, MA)",5,14,150,703
8610000US01257,"ZIP 01257 (Sheffield, MA)",108,1031,10665,48979
8610000US01258,"ZIP 01258 (South Egremont, MA)",35,456,1913,6908
8610000US01259,"ZIP 01259 (Southfield, MA)",24,70,619,3610
8610000US01260,"ZIP 01260 (South Lee, MA)",12,499,6106,23314
8610000US01262,"ZIP 01262 (Stockbridge, MA)",79,1425,11556,54962
8610000US01264,"ZIP 01264 (Tyringham, MA)",1,a,D,D
8610000US01266,"ZIP 01266 (West Stockbridge, MA)",46,134,934,5774
8610000US01267,"ZIP 01267 (Williamstown, MA)",215,3539,43264,182619
8610000US01270,"ZIP 01270 (Windsor, MA)",8,22,213,1296
8610000US01301,"ZIP 01301 (Greenfield, MA)",544,7943,64869,280192
8610000US01302,"ZIP 01302 (Greenfield, MA)",22,372,4692,20608
8610000US01330,"ZIP 01330 (Ashfield, MA)",37,156,1180,6077
8610000US01331,"ZIP 01331 (Athol, MA)",208,2952,24582,115551
8610000US01337,"ZIP 01337 (Bernardston, MA)",48,396,2565,12258
8610000US01338,"ZIP 01338 (Buckland, MA)",15,143,592,2140
8610000US01339,"ZIP 01339 (Charlemont, MA)",29,336,1378,5649
8610000US01340,"ZIP 01340 (Colrain, MA)",18,106,966,4386
8610000US01341,"ZIP 01341 (Conway, MA)",23,106,870,4187
8610000US01342,"ZIP 01342 (Deerfield, MA)",29,879,8283,35673
8610000US01343,"ZIP 01343 (Drury, MA)",1,a,D,D
8610000US01344,"ZIP 01344 (Erving, MA)",20,255,2085,10341
8610000US01346,"ZIP 01346 (Heath, MA)",6,10,58,321
8610000US01347,"ZIP 01347 (Lake Pleasant, MA)",1,a,D,D
8610000US01349,"ZIP 01349 (Millers Falls, MA)",8,22,96,499
8610000US01350,"ZIP 01350 (Monroe Bridge, MA)",3,b,D,D
8610000US01351,"ZIP 01351 (Montague, MA)",33,114,749,3715
8610000US01354,"ZIP 01354 (Gill, MA)",25,283,1571,7720
8610000US01355,"ZIP 01355 (New Salem, MA)",20,56,405,2244
8610000US01360,"ZIP 01360 (Northfield, MA)",46,727,8958,34329
8610000US01364,"ZIP 01364 (Orange, MA)",129,1316,11136,48357
8610000US01366,"ZIP 01366 (Petersham, MA)",31,56,231,1169
8610000US01367,"ZIP 01367 (Rowe, MA)",6,62,1500,5265
8610000US01368,"ZIP 01368 (Royalston, MA)",9,40,166,744
8610000US01370,"ZIP 01370 (Shelburne Falls, MA)",131,587,3606,16722
8610000US01373,"ZIP 01373 (South Deerfield, MA)",136,2939,40631,158625
8610000US01375,"ZIP 01375 (Sunderland, MA)",49,566,6104,36013
8610000US01376,"ZIP 01376 (Turners Falls, MA)",98,1633,15346,66511
8610000US01378,"ZIP 01378 (Warwick, MA)",5,12,44,283
8610000US01379,"ZIP 01379 (Wendell, MA)",13,23,116,656
8610000US01380,"ZIP 01380 (Wendell Depot, MA)",2,a,D,D
8610000US01420,"ZIP 01420 (Fitchburg, MA)",745,10041,85477,376546
8610000US01430,"ZIP 01430 (Ashburnham, MA)",94,538,4624,21986
8610000US01431,"ZIP 01431 (Ashby, MA)",59,174,1284,6455
8610000US01432,"ZIP 01432 (Ayer, MA)",229,4076,52569,224194
8610000US01434,"ZIP 01434 (Devens, MA)",66,2773,45749,194287
8610000US01436,"ZIP 01436 (Baldwinville, MA)",34,479,5111,22684
8610000US01438,"ZIP 01438 (East Templeton, MA)",20,194,1603,8247
8610000US01440,"ZIP 01440 (Gardner, MA)",411,6714,58191,261501
8610000US01441,"ZIP 01441 (Westminster, MA)",10,f,D,D
8610000US01450,"ZIP 01450 (Groton, MA)",211,2118,18885,82125
8610000US01451,"ZIP 01451 (Harvard, MA)",141,666,8660,39457
8610000US01452,"ZIP 01452 (Hubbardston, MA)",54,277,2032,9409
8610000US01453,"ZIP 01453 (Leominster, MA)",1093,17424,152601,677100
8610000US01460,"ZIP 01460 (Littleton, MA)",306,7847,179182,705095
8610000US01462,"ZIP 01462 (Lunenburg, MA)",203,1807,15983,74560
8610000US01463,"ZIP 01463 (Pepperell, MA)",208,1327,11608,54693
8610000US01464,"ZIP 01464 (Shirley, MA)",117,1332,13570,68617
8610000US01467,"ZIP 01467 (Still River, MA)",8,31,242,1137
8610000US01468,"ZIP 01468 (Templeton, MA)",56,264,2294,10733
8610000US01469,"ZIP 01469 (Townsend, MA)",127,1336,10780,47134
8610000US01471,"ZIP 01471 (Groton, MA)",3,e,D,D
8610000US01472,"ZIP 01472 (West Groton, MA)",10,325,3963,15802
8610000US01473,"ZIP 01473 (Westminster, MA)",157,1367,15377,67182
8610000US01474,"ZIP 01474 (West Townsend, MA)",25,110,856,3783
8610000US01475,"ZIP 01475 (Winchendon, MA)",151,1218,8504,36572
8610000US01477,"ZIP 01477 (Winchendon Springs, MA)",1,a,D,D
8610000US01501,"ZIP 01501 (Auburn, MA)",600,10763,109245,470530
8610000US01503,"ZIP 01503 (Berlin, MA)",76,347,2873,15264
8610000US01504,"ZIP 01504 (Blackstone, MA)",132,774,6126,27608
8610000US01505,"ZIP 01505 (Boylston, MA)",121,1309,14057,65297
8610000US01506,"ZIP 01506 (Brookfield, MA)",45,159,990,4561
8610000US01507,"ZIP 01507 (Charlton, MA)",225,2242,23140,98828
8610000US01508,"ZIP 01508 (Charlton City, MA)",23,342,1585,7938
8610000US01509,"ZIP 01509 (Charlton Depot, MA)",4,11,145,861
8610000US01510,"ZIP 01510 (Clinton, MA)",244,3385,38270,179296
8610000US01515,"ZIP 01515 (East Brookfield, MA)",44,432,2775,13346
8610000US01516,"ZIP 01516 (Douglas, MA)",127,714,5889,29958
8610000US01518,"ZIP 01518 (Fiskdale, MA)",63,497,4567,20484
8610000US01519,"ZIP 01519 (Grafton, MA)",94,1267,13725,58429
8610000US01520,"ZIP 01520 (Holden, MA)",271,2904,25408,114085
8610000US01521,"ZIP 01521 (Holland, MA)",21,61,426,1644
8610000US01522,"ZIP 01522 (Jefferson, MA)",30,96,660,3870
8610000US01523,"ZIP 01523 (Lancaster, MA)",120,1841,19259,82542
8610000US01524,"ZIP 01524 (Leicester, MA)",107,1329,8454,37067
8610000US01525,"ZIP 01525 (Linwood, MA)",22,171,1314,6462
8610000US01526,"ZIP 01526 (Manchaug, MA)",11,56,411,1880
8610000US01527,"ZIP 01527 (Millbury, MA)",292,4319,36679,166731
8610000US01529,"ZIP 01529 (Millville, MA)",33,100,666,3258
8610000US01531,"ZIP 01531 (New Braintree, MA)",18,29,162,1238
8610000US01532,"ZIP 01532 (Northborough, MA)",494,8523,96397,394168
8610000US01534,"ZIP 01534 (Northbridge, MA)",64,787,7420,33861
8610000US01535,"ZIP 01535 (North Brookfield, MA)",76,717,7844,31104
8610000US01536,"ZIP 01536 (North Grafton, MA)",144,1774,23452,101310
8610000US01537,"ZIP 01537 (North Oxford, MA)",63,793,8205,37080
8610000US01538,"ZIP 01538 (North Uxbridge, MA)",17,107,907,4333
8610000US01540,"ZIP 01540 (Oxford, MA)",222,4185,68660,229711
8610000US01541,"ZIP 01541 (Princeton, MA)",71,957,4122,18395
8610000US01542,"ZIP 01542 (Rochdale, MA)",35,599,8969,37639
8610000US01543,"ZIP 01543 (Rutland, MA)",120,1009,8239,35799
8610000US01545,"ZIP 01545 (Shrewsbury, MA)",806,11210,114097,494640
8610000US01550,"ZIP 01550 (Southbridge, MA)",324,5034,48549,209714
8610000US01560,"ZIP 01560 (South Grafton, MA)",62,355,4112,18297
8610000US01561,"ZIP 01561 (South Lancaster, MA)",29,575,5719,23873
8610000US01562,"ZIP 01562 (Spencer, MA)",220,2876,27821,118497
8610000US01564,"ZIP 01564 (Sterling, MA)",193,2204,21166,95222
8610000US01566,"ZIP 01566 (Sturbridge, MA)",229,3580,24701,113150
8610000US01568,"ZIP 01568 (Upton, MA)",153,706,5690,28164
8610000US01569,"ZIP 01569 (Uxbridge, MA)",271,3476,35550,161103
8610000US01570,"ZIP 01570 (Webster, MA)",372,6300,65319,267314
8610000US01571,"ZIP 01571 (Dudley, MA)",162,2409,22237,90732
8610000US01581,"ZIP 01581 (Westborough, MA)",942,23864,420758,1708796
8610000US01583,"ZIP 01583 (West Boylston, MA)",237,2509,22878,98263
8610000US01585,"ZIP 01585 (West Brookfield, MA)",87,773,5335,27267
8610000US01588,"ZIP 01588 (Whitinsville, MA)",202,3155,27578,118443
8610000US01590,"ZIP 01590 (Sutton, MA)",155,1703,17561,87284
8610000US01601,"ZIP 01601 (Worcester, MA)",8,123,1593,6528
8610000US01602,"ZIP 01602 (Worcester, MA)",295,2630,21172,89748
8610000US01603,"ZIP 01603 (Worcester, MA)",390,6614,55500,237364
8610000US01604,"ZIP 01604 (Worcester, MA)",710,9266,79590,355297
8610000US01605,"ZIP 01605 (Worcester, MA)",593,21694,349134,1376802
8610000US01606,"ZIP 01606 (Worcester, MA)",448,10355,113830,470810
8610000US01607,"ZIP 01607 (Worcester, MA)",142,2755,24104,111720
8610000US01608,"ZIP 01608 (Worcester, MA)",527,13987,216088,851899
