GEO.id,HD01_VD13
8600000US00601,40
8600000US00602,476
8600000US00603,789
8600000US00606,51
8600000US00610,123
8600000US00612,655
8600000US00616,53
8600000US00617,111
8600000US00622,0
8600000US00623,231
8600000US00624,152
8600000US00627,159
8600000US00631,8
8600000US00637,140
8600000US00638,14
8600000US00641,103
8600000US00646,919
8600000US00647,10
8600000US00650,102
8600000US00652,49
8600000US00653,35
8600000US00656,84
8600000US00659,492
8600000US00660,316
8600000US00662,324
8600000US00664,52
8600000US00667,212
8600000US00669,22
8600000US00670,68
8600000US00674,188
8600000US00676,281
8600000US00677,180
8600000US00678,156
8600000US00680,705
8600000US00682,665
8600000US00683,376
8600000US00685,327
8600000US00687,179
8600000US00688,139
8600000US00690,102
8600000US00692,499
8600000US00693,375
8600000US00694,0
8600000US00698,140
8600000US00703,266
8600000US00704,31
8600000US00705,201
8600000US00707,30
8600000US00714,90
8600000US00715,29
8600000US00716,414
8600000US00717,277
8600000US00718,337
8600000US00719,155
8600000US00720,197
8600000US00723,84
8600000US00725,1752
8600000US00727,778
8600000US00728,354
8600000US00729,1758
8600000US00730,532
8600000US00731,24
8600000US00735,195
8600000US00736,434
8600000US00738,595
8600000US00739,498
8600000US00740,23
8600000US00741,34
8600000US00745,966
8600000US00751,173
8600000US00754,218
8600000US00757,157
8600000US00765,22
8600000US00766,52
8600000US00767,153
8600000US00769,189
8600000US00771,228
8600000US00772,200
8600000US00773,490
8600000US00775,20
8600000US00777,124
8600000US00778,554
8600000US00780,73
8600000US00782,123
8600000US00783,18
8600000US00784,243
8600000US00786,0
8600000US00791,303
8600000US00794,116
8600000US00795,279
8600000US00901,486
8600000US00906,7
8600000US00907,3727
8600000US00909,1139
8600000US00911,1375
8600000US00912,1562
8600000US00913,252
8600000US00915,7185
8600000US00917,2264
8600000US00918,1515
8600000US00920,3855
8600000US00921,5499
8600000US00923,3062
8600000US00924,4405
8600000US00925,1800
8600000US00926,4994
8600000US00927,1072
8600000US00934,0
8600000US00936,26
8600000US00949,2254
8600000US00950,0
8600000US00951,0
8600000US00952,170
8600000US00953,1016
8600000US00956,2797
8600000US00957,861
8600000US00959,2312
8600000US00960,48
8600000US00961,1334
8600000US00962,769
8600000US00965,287
8600000US00966,1440
8600000US00968,636
8600000US00969,3201
8600000US00971,718
8600000US00976,2111
8600000US00979,2576
8600000US00982,1316
8600000US00983,3043
8600000US00985,1532
8600000US00987,1981
8600000US01001,1737
8600000US01002,5022
8600000US01003,1135
8600000US01005,86
8600000US01007,580
8600000US01008,57
8600000US01009,0
8600000US01010,41
8600000US01011,27
8600000US01012,3
8600000US01013,2233
8600000US01020,2875
8600000US01022,95
8600000US01026,18
8600000US01027,1044
8600000US01028,944
8600000US01029,22
8600000US01030,559
8600000US01031,33
8600000US01032,28
8600000US01033,142
8600000US01034,48
8600000US01035,430
8600000US01036,175
8600000US01037,11
8600000US01038,28
8600000US01039,40
8600000US01040,2291
8600000US01050,71
8600000US01053,103
8600000US01054,121
8600000US01056,3006
8600000US01057,145
8600000US01060,1733
8600000US01062,567
8600000US01063,110
8600000US01066,0
8600000US01068,42
8600000US01069,200
8600000US01070,45
8600000US01071,35
8600000US01072,65
8600000US01073,243
8600000US01074,0
8600000US01075,1124
8600000US01077,444
8600000US01079,0
8600000US01080,15
8600000US01081,60
8600000US01082,220
8600000US01083,50
8600000US01084,24
8600000US01085,3974
8600000US01086,25
8600000US01088,0
8600000US01089,4120
8600000US01092,26
8600000US01093,3
8600000US01094,0
8600000US01095,878
8600000US01096,24
8600000US01097,0
8600000US01098,24
8600000US01103,233
8600000US01104,2437
8600000US01105,975
8600000US01106,1624
8600000US01107,1013
8600000US01108,3666
8600000US01109,3421
8600000US01118,1217
8600000US01119,1077
8600000US01128,258
8600000US01129,626
8600000US01151,957
8600000US01199,0
8600000US01201,2872
8600000US01220,212
8600000US01222,39
8600000US01223,67
8600000US01224,16
8600000US01225,10
8600000US01226,249
8600000US01229,10
8600000US01230,1048
8600000US01235,94
8600000US01236,124
8600000US01237,36
8600000US01238,331
8600000US01240,404
8600000US01242,0
8600000US01243,12
8600000US01244,9
8600000US01245,40
8600000US01247,495
8600000US01253,64
8600000US01254,22
8600000US01255,38
8600000US01256,18
8600000US01257,74
8600000US01258,18
8600000US01259,7
8600000US01260,0
8600000US01262,125
8600000US01264,1
8600000US01266,43
8600000US01267,666
8600000US01270,28
8600000US01301,1201
8600000US01330,33
8600000US01331,327
8600000US01337,47
8600000US01338,4
8600000US01339,44
8600000US01340,39
8600000US01341,27
8600000US01342,90
8600000US01343,9
8600000US01344,31
8600000US01346,13
8600000US01347,0
8600000US01349,40
8600000US01350,10
8600000US01351,66
8600000US01354,128
8600000US01355,9
8600000US01360,101
8600000US01364,220
8600000US01366,53
8600000US01367,9
8600000US01368,32
8600000US01370,85
8600000US01373,129
8600000US01375,511
8600000US01376,376
8600000US01378,11
8600000US01379,37
8600000US01420,4610
8600000US01430,70
8600000US01431,155
8600000US01432,745
8600000US01434,154
8600000US01436,49
8600000US01438,41
8600000US01440,1614
8600000US01450,888
8600000US01451,471
8600000US01452,95
8600000US01453,4523
8600000US01460,822
8600000US01462,832
8600000US01463,459
8600000US01464,761
8600000US01467,74
8600000US01468,140
8600000US01469,213
8600000US01473,332
8600000US01474,31
8600000US01475,240
8600000US01501,1019
8600000US01503,199
8600000US01504,420
8600000US01505,298
8600000US01506,64
8600000US01507,627
8600000US01510,1498
8600000US01515,53
8600000US01516,124
8600000US01518,253
8600000US01519,517
8600000US01520,1057
8600000US01521,62
8600000US01522,194
8600000US01523,452
8600000US01524,303
8600000US01525,14
8600000US01527,867
8600000US01529,111
8600000US01531,27
8600000US01532,1892
8600000US01534,254
8600000US01535,149
8600000US01536,676
8600000US01537,131
8600000US01540,430
8600000US01541,206
8600000US01542,131
8600000US01543,286
8600000US01545,7497
8600000US01550,856
8600000US01560,842
8600000US01561,95
8600000US01562,528
8600000US01564,385
8600000US01566,405
8600000US01568,250
8600000US01569,686
8600000US01570,1931
8600000US01571,933
8600000US01581,4358
8600000US01583,312
8600000US01585,142
8600000US01588,414
8600000US01590,200
8600000US01602,5093
8600000US01603,4669
8600000US01604,7302
8600000US01605,6892
8600000US01606,2813
8600000US01607,1728
8600000US01608,904
8600000US01609,3863
8600000US01610,7005
8600000US01611,255
8600000US01612,243
8600000US01701,6364
8600000US01702,12326
8600000US01718,100
8600000US01719,1113
8600000US01720,5645
8600000US01721,2783
8600000US01730,2186
8600000US01731,52
8600000US01740,407
8600000US01741,673
8600000US01742,1774
8600000US01745,91
8600000US01746,1084
8600000US01747,420
8600000US01748,1119
8600000US01749,3196
8600000US01752,9594
8600000US01754,1215
8600000US01756,267
8600000US01757,4430
8600000US01760,4891
8600000US01770,337
8600000US01772,1536
8600000US01773,1029
8600000US01775,519
8600000US01776,1903
8600000US01778,2304
8600000US01801,6632
8600000US01803,4835
8600000US01810,5395
8600000US01821,2640
8600000US01824,2532
8600000US01826,2449
8600000US01827,183
8600000US01830,2637
8600000US01832,2166
8600000US01833,303
8600000US01834,213
8600000US01835,842
8600000US01840,2100
8600000US01841,19691
8600000US01843,7654
8600000US01844,7993
8600000US01845,3275
8600000US01850,2503
8600000US01851,10648
8600000US01852,8304
8600000US01854,6762
8600000US01860,197
8600000US01862,992
8600000US01863,1220
8600000US01864,1123
8600000US01867,2160
8600000US01876,1802
8600000US01879,812
8600000US01880,2025
8600000US01886,2922
8600000US01887,1917
8600000US01890,3344
8600000US01901,541
8600000US01902,17506
8600000US01904,2314
8600000US01905,9223
8600000US01906,3235
8600000US01907,2009
8600000US01908,180
8600000US01913,744
8600000US01915,2363
8600000US01921,494
8600000US01922,184
8600000US01923,1702
8600000US01929,148
8600000US01930,2371
8600000US01937,0
8600000US01938,552
8600000US01940,1065
8600000US01944,384
8600000US01945,1797
8600000US01949,780
8600000US01950,958
8600000US01951,192
8600000US01952,286
8600000US01960,7688
8600000US01966,262
8600000US01969,206
8600000US01970,6188
8600000US01982,795
8600000US01983,418
8600000US01984,294
8600000US01985,183
8600000US02019,984
8600000US02021,2958
8600000US02025,442
8600000US02026,3913
8600000US02030,780
8600000US02032,531
8600000US02035,1229
8600000US02038,1969
8600000US02043,1233
8600000US02045,661
8600000US02047,51
8600000US02048,1916
8600000US02050,1318
8600000US02052,600
8600000US02053,828
8600000US02054,857
8600000US02056,658
8600000US02061,374
8600000US02062,4697
8600000US02066,649
8600000US02067,3448
8600000US02071,205
8600000US02072,4453
8600000US02081,1616
8600000US02090,1804
8600000US02093,600
8600000US02108,508
8600000US02109,702
8600000US02110,326
8600000US02111,3477
8600000US02113,844
8600000US02114,2151
8600000US02115,7032
8600000US02116,4362
8600000US02118,6598
8600000US02119,7415
8600000US02120,3860
8600000US02121,7715
8600000US02122,8844
8600000US02124,15849
8600000US02125,13717
8600000US02126,9807
8600000US02127,4470
8600000US02128,22732
8600000US02129,3136
8600000US02130,8301
8600000US02131,8204
8600000US02132,5266
8600000US02134,5128
8600000US02135,9775
8600000US02136,8848
8600000US02138,8543
8600000US02139,9690
8600000US02140,5300
8600000US02141,4399
8600000US02142,1333
8600000US02143,6490
8600000US02144,3635
8600000US02145,8982
8600000US02148,26254
8600000US02149,17807
8600000US02150,16550
8600000US02151,18511
8600000US02152,2801
8600000US02155,13287
8600000US02163,890
8600000US02169,15439
8600000US02170,5990
8600000US02171,6201
8600000US02176,3520
8600000US02180,2387
8600000US02184,5198
8600000US02186,3346
8600000US02188,1985
8600000US02189,1410
8600000US02190,1525
8600000US02191,614
8600000US02199,284
8600000US02203,0
8600000US02210,295
8600000US02215,5986
8600000US02301,17732
8600000US02302,6881
8600000US02322,633
8600000US02324,1637
8600000US02330,227
8600000US02332,286
8600000US02333,381
8600000US02338,302
8600000US02339,527
8600000US02341,345
8600000US02343,1364
8600000US02346,612
8600000US02347,423
8600000US02351,972
8600000US02356,878
8600000US02357,39
8600000US02359,511
8600000US02360,3134
8600000US02364,441
8600000US02366,17
8600000US02367,71
8600000US02368,10109
8600000US02370,885
8600000US02375,716
8600000US02379,197
8600000US02382,444
8600000US02420,3929
8600000US02421,4550
8600000US02445,5515
8600000US02446,7650
8600000US02451,4510
8600000US02452,3373
8600000US02453,8467
8600000US02457,277
8600000US02458,2723
8600000US02459,5014
8600000US02460,1702
8600000US02461,1942
8600000US02462,289
8600000US02464,940
8600000US02465,2307
8600000US02466,1720
8600000US02467,4673
8600000US02468,980
8600000US02472,7709
8600000US02474,5273
8600000US02476,2605
8600000US02478,5445
8600000US02481,2370
8600000US02482,1502
8600000US02492,2263
8600000US02493,1836
8600000US02494,1622
8600000US02532,554
8600000US02534,88
8600000US02535,40
8600000US02536,1343
8600000US02537,72
8600000US02538,64
8600000US02539,442
8600000US02540,869
8600000US02542,20
8600000US02543,45
8600000US02553,0
8600000US02554,1723
8600000US02556,202
8600000US02557,614
8600000US02558,43
8600000US02559,217
8600000US02561,0
8600000US02562,96
8600000US02563,381
8600000US02564,0
8600000US02568,486
8600000US02571,455
8600000US02575,66
8600000US02576,24
8600000US02584,0
8600000US02601,2669
8600000US02630,50
8600000US02631,309
8600000US02632,975
8600000US02633,209
8600000US02635,283
8600000US02637,0
8600000US02638,141
8600000US02639,177
8600000US02641,8
8600000US02642,363
8600000US02643,0
8600000US02644,145
8600000US02645,663
8600000US02646,216
8600000US02647,0
8600000US02648,218
8600000US02649,486
8600000US02650,93
8600000US02651,0
8600000US02652,72
8600000US02653,401
8600000US02655,292
8600000US02657,258
8600000US02659,25
8600000US02660,334
8600000US02663,50
8600000US02664,896
8600000US02666,107
8600000US02667,124
8600000US02668,56
8600000US02669,33
8600000US02670,82
8600000US02671,8
8600000US02672,0
8600000US02673,894
8600000US02675,275
8600000US02702,298
