GEO.id,Total_Households,Total_Families,Families_w_Children
8600000US00601,5972,4396,1628
8600000US00602,12968,9761,3450
8600000US00603,18674,13422,5230
8600000US00606,1915,1364,521
8600000US00610,9404,6877,2512
8600000US00612,22971,16690,6493
8600000US00616,3636,2645,755
8600000US00617,8352,6173,2448
8600000US00622,2557,1585,556
8600000US00623,14558,10087,3917
8600000US00624,8216,6396,2516
8600000US00627,11934,9292,3659
8600000US00631,657,382,136
8600000US00637,7088,4891,1357
8600000US00638,6018,4415,1706
8600000US00641,9540,7093,2413
8600000US00646,12360,9606,4419
8600000US00647,1791,1319,352
8600000US00650,5017,4023,1344
8600000US00652,1390,949,383
8600000US00653,3664,2696,921
8600000US00656,6612,5075,1966
8600000US00659,14337,10812,4150
8600000US00660,6418,4413,1424
8600000US00662,14620,10565,3964
8600000US00664,4846,3872,1416
8600000US00667,8494,6004,2023
8600000US00669,9735,7253,2967
8600000US00670,3163,2306,886
8600000US00674,16090,11472,4731
8600000US00676,12356,9266,3625
8600000US00677,5451,3774,1491
8600000US00678,9584,7318,2880
8600000US00680,19352,12319,4408
8600000US00682,11636,7128,2666
8600000US00683,11921,7735,2321
8600000US00685,13794,10093,3919
8600000US00687,9788,7455,3257
8600000US00688,4203,3059,983
8600000US00690,2147,1555,744
8600000US00692,11803,8731,3711
8600000US00693,17837,13182,4773
8600000US00694,49,0,0
8600000US00698,10422,7171,2031
8600000US00703,8968,6861,2346
8600000US00704,3024,2162,1133
8600000US00705,8614,6423,2305
8600000US00707,4086,3088,996
8600000US00714,6265,4449,2081
8600000US00715,1263,854,317
8600000US00716,11763,7920,3133
8600000US00717,6995,4015,1759
8600000US00718,8718,6164,2663
8600000US00719,8837,6882,2543
8600000US00720,6821,5159,2203
8600000US00723,6436,4111,1565
8600000US00725,31555,22151,8961
8600000US00727,20561,15078,5723
8600000US00728,13692,10143,4094
8600000US00729,16611,12288,4831
8600000US00730,12582,8666,3538
8600000US00731,4765,3656,1295
8600000US00735,4663,3329,1173
8600000US00736,17629,12592,4830
8600000US00738,12194,8353,3650
8600000US00739,12621,9983,4108
8600000US00740,565,401,228
8600000US00741,1639,1276,397
8600000US00745,17053,12860,4720
8600000US00751,8349,5813,2463
8600000US00754,13595,9854,3608
8600000US00757,7727,5428,2733
8600000US00765,2711,1786,346
8600000US00766,8094,6261,2628
8600000US00767,12205,8652,3494
8600000US00769,13493,9784,4572
8600000US00771,12805,9584,3949
8600000US00772,6829,4793,1680
8600000US00773,6788,4806,1660
8600000US00775,515,310,98
8600000US00777,13106,9718,4458
8600000US00778,15306,11248,4998
8600000US00780,4408,3138,1473
8600000US00782,5991,4269,1620
8600000US00783,10863,8626,3251
8600000US00784,14753,10040,4100
8600000US00786,130,97,15
8600000US00791,16890,12123,4809
8600000US00794,9424,7288,2843
8600000US00795,15836,12129,4816
8600000US00901,2612,1068,365
8600000US00906,51,17,0
8600000US00907,8519,4028,1322
8600000US00909,2574,1260,616
8600000US00911,3820,1537,491
8600000US00912,2437,1216,390
8600000US00913,3267,2062,1132
8600000US00915,11578,6407,2855
8600000US00917,8161,4349,1313
8600000US00918,7930,3684,1539
8600000US00920,7278,4111,1524
8600000US00921,14156,8992,3673
8600000US00923,10550,6007,2372
8600000US00924,19890,12862,5778
8600000US00925,2976,862,234
8600000US00926,38019,26798,10193
8600000US00927,5925,3523,1058
8600000US00934,47,20,20
8600000US00936,0,0,0
8600000US00949,26693,18977,7507
8600000US00950,0,0,0
8600000US00951,15,0,0
8600000US00952,3113,2109,773
8600000US00953,22190,18390,8358
8600000US00956,26424,19392,8098
8600000US00957,15329,11656,4424
8600000US00959,18772,12605,4932
8600000US00960,0,0,0
8600000US00961,11460,7935,2766
8600000US00962,7334,5416,2176
8600000US00965,2974,2003,707
8600000US00966,6380,4141,1812
8600000US00968,1885,898,229
8600000US00969,15671,11322,4466
8600000US00971,10334,7312,2573
8600000US00976,21587,15431,6645
8600000US00979,7751,3867,1156
8600000US00982,5850,4109,1408
8600000US00983,14719,10795,4195
8600000US00985,12860,8848,3101
8600000US00987,21444,16186,7260
8600000US01001,7103,4080,1538
8600000US01002,9541,4681,1954
8600000US01003,29,12,12
8600000US01005,1812,1157,521
8600000US01007,5716,4043,2022
8600000US01008,505,363,115
8600000US01009,184,157,56
8600000US01010,1484,1004,393
8600000US01011,552,422,168
8600000US01012,245,163,66
8600000US01013,9196,5412,2646
8600000US01020,12571,7927,2782
8600000US01022,1226,531,157
8600000US01026,457,287,133
8600000US01027,7960,4624,1629
8600000US01028,6039,4234,1655
8600000US01029,314,205,68
8600000US01030,4385,3259,1254
8600000US01031,575,357,132
8600000US01032,278,194,68
8600000US01033,2344,1685,680
8600000US01034,805,634,230
8600000US01035,2288,1332,414
8600000US01036,1917,1544,545
8600000US01037,264,179,20
8600000US01038,1256,774,310
8600000US01039,568,345,110
8600000US01040,15324,9714,4805
8600000US01050,959,696,298
8600000US01053,571,374,171
8600000US01054,824,590,201
8600000US01056,8093,5781,2098
8600000US01057,3534,2292,953
8600000US01060,6467,2486,1116
8600000US01062,4446,2926,1292
8600000US01063,0,0,0
8600000US01066,10,0,0
8600000US01068,668,532,196
8600000US01069,3500,2229,897
8600000US01070,243,146,48
8600000US01071,516,396,99
8600000US01072,635,381,195
8600000US01073,2484,1740,659
8600000US01074,83,59,34
8600000US01075,6933,4093,1442
8600000US01077,3566,2676,1030
8600000US01079,262,167,65
8600000US01080,917,518,221
8600000US01081,689,487,182
8600000US01082,4268,2723,1157
8600000US01083,1180,783,353
8600000US01084,72,47,9
8600000US01085,15190,10000,4019
8600000US01086,0,0,0
8600000US01088,290,97,24
8600000US01089,11495,7030,3151
8600000US01092,560,337,146
8600000US01093,133,80,21
8600000US01094,185,69,28
8600000US01095,5415,3986,1681
8600000US01096,993,679,268
8600000US01097,10,10,0
8600000US01098,514,313,73
8600000US01103,1412,484,225
8600000US01104,8784,5407,2729
8600000US01105,4844,2408,1492
8600000US01106,5765,4413,2072
8600000US01107,3923,2677,1417
8600000US01108,9716,6615,3462
8600000US01109,9379,6267,3446
8600000US01118,5543,3922,1625
8600000US01119,4730,3068,1217
8600000US01128,997,751,214
8600000US01129,2923,1926,737
8600000US01151,3303,2082,1050
8600000US01199,0,0,0
8600000US01201,19894,11512,4918
8600000US01220,3838,2381,966
8600000US01222,345,245,93
8600000US01223,1018,700,172
8600000US01224,77,29,6
8600000US01225,1374,817,317
8600000US01226,2843,1780,705
8600000US01229,61,27,10
8600000US01230,3281,1874,608
8600000US01235,1214,801,299
8600000US01236,524,413,179
8600000US01237,976,737,327
8600000US01238,2492,1557,553
8600000US01240,2306,1108,329
8600000US01242,144,107,67
8600000US01243,177,123,31
8600000US01244,63,30,9
8600000US01245,417,264,66
8600000US01247,7069,4084,1430
8600000US01253,302,239,74
8600000US01254,440,298,78
8600000US01255,353,223,76
8600000US01256,337,223,81
8600000US01257,950,591,199
8600000US01258,179,93,10
8600000US01259,260,182,23
8600000US01260,144,96,71
8600000US01262,574,278,43
8600000US01264,66,42,2
8600000US01266,661,411,130
8600000US01267,2381,1421,538
8600000US01270,316,235,79
8600000US01301,7850,4277,1773
8600000US01330,622,377,136
8600000US01331,5341,3270,1223
8600000US01337,1122,740,292
8600000US01338,79,57,6
8600000US01339,595,370,135
8600000US01340,716,468,158
8600000US01341,688,504,189
8600000US01342,484,330,190
8600000US01343,27,18,0
8600000US01344,626,421,181
8600000US01346,210,157,46
8600000US01347,66,35,23
8600000US01349,446,268,70
8600000US01350,50,31,14
8600000US01351,939,643,251
8600000US01354,569,400,111
8600000US01355,418,267,89
8600000US01360,1234,834,366
8600000US01364,3302,1997,806
8600000US01366,496,305,107
8600000US01367,247,143,59
8600000US01368,515,365,142
8600000US01370,1768,1036,303
8600000US01373,1914,1150,470
8600000US01375,1528,696,315
8600000US01376,2252,1200,539
8600000US01378,337,198,47
8600000US01379,376,216,68
8600000US01420,14842,9433,4350
8600000US01430,2216,1613,594
8600000US01431,1048,852,292
8600000US01432,3308,2046,734
8600000US01434,160,123,81
8600000US01436,1299,947,435
8600000US01438,233,209,65
8600000US01440,8156,4930,2238
8600000US01450,3992,3220,1575
8600000US01451,1652,1350,673
8600000US01452,1592,1198,578
8600000US01453,16784,10547,4605
8600000US01460,3446,2523,1135
8600000US01462,4287,2954,1263
8600000US01463,4247,3141,1463
8600000US01464,2331,1541,739
8600000US01467,113,113,77
8600000US01468,1612,1056,325
8600000US01469,2547,1914,830
8600000US01473,2779,2066,782
8600000US01474,729,530,202
8600000US01475,3948,2714,1106
8600000US01501,6267,4307,1682
8600000US01503,1078,842,285
8600000US01504,3333,2553,1150
8600000US01505,1618,1246,484
8600000US01506,1390,913,398
8600000US01507,4744,3710,1508
8600000US01510,5644,3335,1417
8600000US01515,827,559,163
8600000US01516,3100,2311,1083
8600000US01518,1213,894,396
8600000US01519,2360,1667,749
8600000US01520,5178,4009,1752
8600000US01521,998,696,204
8600000US01522,1139,958,391
8600000US01523,2261,1765,774
8600000US01524,2623,1732,575
8600000US01525,73,33,10
8600000US01527,5162,3650,1593
8600000US01529,1061,832,388
8600000US01531,392,283,120
8600000US01532,5108,4065,1706
8600000US01534,2137,1689,816
8600000US01535,1820,1266,508
8600000US01536,2743,1903,908
8600000US01537,828,521,236
8600000US01540,4220,2840,1345
8600000US01541,1252,979,406
8600000US01542,773,529,189
8600000US01543,2898,2181,1059
8600000US01545,12839,9557,5037
8600000US01550,6762,4007,1740
8600000US01560,1705,1151,727
8600000US01561,58,58,13
8600000US01562,4656,3056,1015
8600000US01564,2748,2143,888
8600000US01566,2396,1851,882
8600000US01568,2633,2033,1107
8600000US01569,4824,3429,1637
8600000US01570,6669,4337,1758
8600000US01571,4037,2722,1187
8600000US01581,6992,4905,2489
8600000US01583,2143,1476,568
8600000US01585,1880,1325,421
8600000US01588,3752,2368,1041
8600000US01590,3093,2465,1113
8600000US01602,9179,5498,2268
8600000US01603,7203,4526,1862
8600000US01604,14130,8073,3522
8600000US01605,10472,6390,3494
8600000US01606,7688,4582,2056
8600000US01607,3741,2086,1127
8600000US01608,1438,658,392
8600000US01609,7049,3424,1308
8600000US01610,7843,4038,2385
8600000US01611,927,602,261
8600000US01612,1508,1220,513
8600000US01701,12344,8902,3442
8600000US01702,14745,8522,4426
8600000US01718,173,131,88
8600000US01719,2101,1375,688
8600000US01720,8503,6110,3423
8600000US01721,6596,4752,2332
8600000US01730,5129,3747,1888
8600000US01731,572,544,464
8600000US01740,1619,1337,757
8600000US01741,1762,1474,643
8600000US01742,6920,4963,2245
8600000US01745,133,117,59
8600000US01746,5037,3930,1979
8600000US01747,2237,1515,838
8600000US01748,5422,4374,2558
8600000US01749,7638,5295,2230
8600000US01752,15558,9412,4435
8600000US01754,4284,2569,1060
8600000US01756,1993,1706,755
8600000US01757,10916,7347,3256
8600000US01760,13874,8844,4626
8600000US01770,1461,1263,644
8600000US01772,3175,2529,1302
8600000US01773,2021,1532,655
8600000US01775,2538,2018,950
8600000US01776,6063,5306,2879
8600000US01778,5213,3783,1897
8600000US01801,15016,9765,4023
8600000US01803,9359,6811,3011
8600000US01810,12174,9201,4620
8600000US01821,11083,8357,3391
8600000US01824,9821,7044,3059
8600000US01826,11008,8213,3789
8600000US01827,1176,919,410
8600000US01830,10202,6303,3011
8600000US01832,8461,5510,2576
8600000US01833,3115,2431,1189
8600000US01834,2385,1828,692
8600000US01835,5118,3417,1691
