GEO.id,Population,18_Population,65_Population
8600000US00601,17982,13727,2722
8600000US00602,40260,31626,5887
8600000US00603,52408,41065,9244
8600000US00606,6331,4901,1002
8600000US00610,28328,22089,4755
8600000US00612,64816,50367,11875
8600000US00616,10707,8739,2195
8600000US00617,24793,18914,3969
8600000US00622,7425,5776,1635
8600000US00623,42955,33706,8212
8600000US00624,24628,18402,3413
8600000US00627,33949,26374,5456
8600000US00631,1664,1351,413
8600000US00637,24398,18801,4576
8600000US00638,18084,13863,2803
8600000US00641,29516,22977,5098
8600000US00646,38396,28838,5420
8600000US00647,5740,4680,1421
8600000US00650,14738,11145,2294
8600000US00652,3800,2935,756
8600000US00653,12514,9392,2060
8600000US00656,20414,15558,3389
8600000US00659,41578,32372,6851
8600000US00660,16845,13495,3940
8600000US00662,42499,33197,7337
8600000US00664,15974,11950,2096
8600000US00667,24968,19713,5030
8600000US00669,27703,21592,4655
8600000US00670,9333,7219,1565
8600000US00674,42358,32519,7388
8600000US00676,38999,29646,5460
8600000US00677,14855,11802,3031
8600000US00678,26815,20753,4208
8600000US00680,52431,42583,10929
8600000US00682,32431,25826,5849
8600000US00683,32569,25859,6734
8600000US00685,40800,31672,7701
8600000US00687,32294,24178,4046
8600000US00688,12870,10445,2098
8600000US00690,5565,4111,1073
8600000US00692,36777,27779,5396
8600000US00693,58615,45151,9662
8600000US00694,77,77,50
8600000US00698,39395,30708,6824
8600000US00703,28165,21667,4436
8600000US00704,8007,5829,997
8600000US00705,24717,19188,3983
8600000US00707,11701,9127,2090
8600000US00714,18988,14283,2979
8600000US00715,3586,2696,763
8600000US00716,30876,23695,5696
8600000US00717,17704,13469,3287
8600000US00718,26547,19838,3898
8600000US00719,30588,23437,4481
8600000US00720,22676,17106,2980
8600000US00723,18441,14409,3158
8600000US00725,86276,66946,15217
8600000US00727,56503,43912,8738
8600000US00728,41337,32086,6183
8600000US00729,53439,40368,7285
8600000US00730,34965,26954,6643
8600000US00731,14382,11286,2567
8600000US00735,13063,10186,2584
8600000US00736,50335,39453,8385
8600000US00738,33205,25606,6246
8600000US00739,37970,29016,5166
8600000US00740,1515,1073,306
8600000US00741,5514,4492,961
8600000US00745,53797,41577,8605
8600000US00751,22777,17200,3705
8600000US00754,39651,30813,5962
8600000US00757,22913,16878,3106
8600000US00765,8993,6983,1705
8600000US00766,24875,18664,3377
