GEO.id,Poverty_status,Bachelors,Labor_force,Employed,Full_time,Poverty_200,Poverty_500
8600000US00601,17893,2092,6162,3949,2640,14986,17522
8600000US00602,40200,5909,15262,11455,6644,32218,39598
8600000US00603,50890,8216,17011,13022,8357,38450,49457
8600000US00606,6331,455,1679,1500,757,5665,6331
8600000US00610,28233,2896,9542,8047,5386,23213,27771
8600000US00612,64516,10801,20728,16554,11361,48208,62675
8600000US00616,10667,1061,3071,2731,2056,8911,10422
8600000US00617,24762,2619,6480,5367,3987,20355,24524
8600000US00622,7378,999,1568,1385,972,6003,6922
8600000US00623,42904,7567,12511,11036,7282,33340,41674
8600000US00624,24415,2716,7991,5919,3890,21246,24166
8600000US00627,33924,4695,11328,8899,5907,27520,33114
8600000US00631,1664,148,603,287,177,1534,1664
8600000US00637,24292,3289,7077,5339,3449,19477,24097
8600000US00638,18028,1540,4343,3557,2880,15385,18028
8600000US00641,29482,3625,9036,6416,3890,24040,29180
8600000US00646,38253,7552,14940,11998,8824,24907,34704
8600000US00647,5740,664,1630,1389,674,4978,5679
8600000US00650,14725,976,4440,3686,2330,12934,14646
8600000US00652,3787,551,1175,1035,797,2604,3787
8600000US00653,12477,1256,3634,2445,1592,11074,12208
8600000US00656,20341,2570,5928,4588,2896,17050,20111
8600000US00659,41545,6462,14555,12623,8125,31347,40349
8600000US00660,16706,2698,6315,4887,3325,12652,16332
8600000US00662,42162,5723,12561,10042,6882,34227,41737
8600000US00664,15786,1580,4994,3412,2348,13518,15786
8600000US00667,24895,2611,6074,5018,3245,21443,24593
8600000US00669,27318,3426,9169,5993,4255,22767,26995
8600000US00670,9264,977,2651,2532,1595,7758,9264
8600000US00674,41891,6254,13846,11244,7917,30649,40847
8600000US00676,38771,4900,12047,9275,5734,32286,38317
8600000US00677,14836,2187,5364,4420,2567,12147,14484
8600000US00678,26728,3424,7913,6619,4258,22552,26169
8600000US00680,51454,6530,17312,13400,7658,41385,50451
8600000US00682,32198,5282,10321,8011,4766,24209,30267
8600000US00683,32006,5078,8955,8325,5267,25456,30949
8600000US00685,40620,5051,12563,8860,5557,34437,40173
8600000US00687,32172,3361,10274,7740,5403,27249,31912
8600000US00688,11872,1358,3534,3124,2560,9930,11721
8600000US00690,5565,1334,2028,1592,1265,4079,5450
8600000US00692,35939,4520,11777,9189,6535,28437,34948
8600000US00693,58124,7742,16683,14184,11752,44098,56509
8600000US00694,77,0,0,0,0,77,77
8600000US00698,38950,5302,12237,8938,5570,31295,38003
8600000US00703,28069,2490,8739,6633,4385,23896,27761
8600000US00704,7898,1063,2450,2107,1516,6681,7853
8600000US00705,24707,3471,6272,5892,4774,19439,24523
8600000US00707,11684,1321,3411,2459,1369,9710,11624
8600000US00714,18977,2076,5187,4000,2920,16989,18792
8600000US00715,3586,231,957,744,405,3120,3571
8600000US00716,30712,6646,10352,8243,5720,22822,28790
8600000US00717,17352,2933,5635,4305,2544,13887,16964
8600000US00718,26485,3426,8142,7246,5081,21277,26228
8600000US00719,30434,3173,9646,7574,5353,25104,30054
8600000US00720,22532,2268,6646,4569,3378,19565,22439
8600000US00723,18441,1815,5357,3884,2781,15556,18173
8600000US00725,85842,15264,34660,28243,18175,61345,82446
8600000US00727,56316,12998,24297,21352,15032,34199,51295
8600000US00728,39230,6134,13753,11114,6881,30395,38264
8600000US00729,53157,6858,21625,16714,11744,39424,51351
8600000US00730,34818,5197,11148,8551,5424,27573,33557
8600000US00731,14353,1898,4691,4025,2126,11610,14051
8600000US00735,13047,1662,4348,3831,2779,10341,12854
8600000US00736,50273,7742,19451,16753,11012,36651,47490
8600000US00738,32965,4791,13768,10370,6960,24741,32147
8600000US00739,37787,5709,15820,13812,9375,26618,35965
8600000US00740,1515,97,588,377,258,1366,1515
8600000US00741,5462,403,1937,1482,969,4687,5446
8600000US00745,52808,6999,22728,17370,12543,37662,51783
