GEO.id,HD01_VD08,HD01_VD09
8600000US00601,1033,37
8600000US00602,2781,317
8600000US00603,2386,483
8600000US00606,172,20
8600000US00610,1518,164
8600000US00612,3851,421
8600000US00616,499,69
8600000US00617,1511,194
8600000US00622,390,32
8600000US00623,2608,377
8600000US00624,1243,172
8600000US00627,2154,111
8600000US00631,23,12
8600000US00637,1578,276
8600000US00638,899,32
8600000US00641,1815,127
8600000US00646,1821,382
8600000US00647,292,34
8600000US00650,898,40
8600000US00652,171,0
8600000US00653,619,137
8600000US00656,1317,82
8600000US00659,2377,467
8600000US00660,888,195
8600000US00662,2720,290
8600000US00664,650,138
8600000US00667,1250,86
8600000US00669,1532,58
8600000US00670,341,37
8600000US00674,2725,397
8600000US00676,2559,228
8600000US00677,747,92
8600000US00678,1802,44
8600000US00680,5506,527
8600000US00682,4320,520
8600000US00683,2429,275
8600000US00685,2230,99
8600000US00687,2001,76
8600000US00688,374,84
8600000US00690,241,25
8600000US00692,2080,194
8600000US00693,3408,391
8600000US00694,0,0
8600000US00698,2375,253
8600000US00703,1779,89
8600000US00704,397,62
8600000US00705,1593,79
8600000US00707,503,111
8600000US00714,1085,170
8600000US00715,99,0
8600000US00716,1580,587
8600000US00717,1914,387
8600000US00718,1636,173
8600000US00719,2297,150
8600000US00720,1185,39
8600000US00723,949,16
8600000US00725,5185,1038
8600000US00727,4148,811
8600000US00728,3115,379
8600000US00729,3339,562
8600000US00730,2434,327
8600000US00731,986,104
8600000US00735,863,39
8600000US00736,3197,576
8600000US00738,1565,230
8600000US00739,2274,414
8600000US00740,41,16
8600000US00741,410,25
8600000US00745,2917,361
8600000US00751,1316,98
8600000US00754,2303,327
8600000US00757,1492,164
8600000US00765,445,36
8600000US00766,1592,120
8600000US00767,1583,119
8600000US00769,2286,295
8600000US00771,2067,294
8600000US00772,1142,120
8600000US00773,1038,27
8600000US00775,25,11
8600000US00777,2523,349
8600000US00778,3637,932
8600000US00780,817,214
8600000US00782,1114,98
8600000US00783,1893,151
8600000US00784,2516,252
8600000US00786,0,0
8600000US00791,3552,359
8600000US00794,2151,91
8600000US00795,3141,333
8600000US00901,282,155
8600000US00906,16,0
8600000US00907,875,501
8600000US00909,316,76
8600000US00911,453,129
8600000US00912,590,152
8600000US00913,364,85
8600000US00915,1542,208
8600000US00917,1412,183
8600000US00918,1113,598
8600000US00920,1525,264
8600000US00921,3032,743
8600000US00923,2266,295
8600000US00924,3518,573
8600000US00925,1963,350
8600000US00926,7766,2616
8600000US00927,1174,500
8600000US00934,0,0
8600000US00936,0,0
8600000US00949,5160,820
8600000US00950,0,0
8600000US00951,0,0
8600000US00952,501,87
8600000US00953,5380,1013
8600000US00956,5408,704
8600000US00957,3611,553
8600000US00959,4295,686
8600000US00960,76,0
8600000US00961,2068,384
8600000US00962,1174,191
8600000US00965,488,15
8600000US00966,1155,441
8600000US00968,126,67
8600000US00969,3030,1258
8600000US00971,2009,156
8600000US00976,3931,862
8600000US00979,961,262
8600000US00982,1198,130
8600000US00983,3094,402
8600000US00985,2037,251
8600000US00987,4911,1000
8600000US01001,889,174
8600000US01002,11344,1938
8600000US01003,11097,36
8600000US01005,113,45
8600000US01007,847,225
8600000US01008,42,6
8600000US01009,10,0
8600000US01010,171,39
8600000US01011,63,3
8600000US01012,16,2
8600000US01013,1387,200
8600000US01020,1384,289
8600000US01022,215,77
8600000US01026,19,1
8600000US01027,1363,381
8600000US01028,765,258
8600000US01029,10,4
8600000US01030,695,218
8600000US01031,29,0
8600000US01032,19,15
8600000US01033,151,128
8600000US01034,135,6
8600000US01035,142,132
8600000US01036,312,23
8600000US01037,27,9
8600000US01038,81,33
8600000US01039,27,39
8600000US01040,1639,480
8600000US01050,71,22
8600000US01053,8,23
8600000US01054,61,40
8600000US01056,772,311
8600000US01057,310,76
8600000US01060,2614,518
8600000US01062,280,162
8600000US01063,572,0
8600000US01066,0,0
8600000US01068,85,22
8600000US01069,309,155
8600000US01070,10,8
8600000US01071,26,23
8600000US01072,54,27
8600000US01073,150,32
8600000US01074,0,0
8600000US01075,2895,128
8600000US01077,350,123
8600000US01079,41,0
8600000US01080,46,29
8600000US01081,37,6
8600000US01082,392,61
8600000US01083,118,0
8600000US01084,0,3
8600000US01085,4152,397
8600000US01086,669,16
8600000US01088,0,31
8600000US01089,1577,621
8600000US01092,85,23
8600000US01093,14,4
8600000US01094,10,5
8600000US01095,646,130
8600000US01096,78,26
8600000US01097,11,0
8600000US01098,25,8
8600000US01103,210,39
8600000US01104,1265,107
